0,[7.897358 0.359375],12.87619
1,[2.3763702 0.53125  ],1.3076811
2,[3.0119336 0.390625 ],1.1922808
3,[4.1065874 0.375    ],1.1195772
4,[3.5484009 0.546875 ],0.90047985
5,[2.051319 0.578125],1.0616219
6,[2.516047 0.546875],1.9785676
7,[3.0102258 0.53125  ],1.0636613
8,[2.5749586 0.609375 ],1.3054981
9,[2.0679946 0.625    ],0.851652
10,[3.3210123 0.5625   ],1.2154934
11,[3.0448718 0.5      ],1.4441843
12,[2.807681 0.484375],1.1935163
13,[2.330771 0.515625],0.997171
14,[2.5657854 0.578125 ],1.275991
15,[4.037412 0.53125 ],1.6009843
16,[1.792136 0.65625 ],1.4867074
17,[3.8653874 0.546875 ],1.1572014
18,[3.2095404 0.625    ],0.99105424
19,[3.2792745 0.59375  ],1.2499621
20,[2.4268928 0.703125 ],1.8007767
21,[2.7138877 0.578125 ],1.0300832
22,[2.6630707 0.71875  ],1.8743334
23,[2.0591955 0.8125   ],1.5140187
24,[2.409035 0.671875],3.3839283
25,[3.5645242 0.765625 ],16.118095
26,[1.5188475 0.90625  ],16.118095
27,[0.758866 0.953125],16.118095
28,[1.5127978 0.90625  ],16.118095
29,[1.5121009 0.90625  ],16.118095
30,[2.521074 0.84375 ],16.118095
31,[2.5150123 0.84375  ],14.85887
32,[1.51161 0.90625],16.118095
33,[1.7634871 0.890625 ],16.118095
34,[0.5042623 0.96875  ],15.866266
35,[1.5089766 0.90625  ],15.36256
36,[1.5058218 0.90625  ],14.858869
37,[1.7603232 0.890625 ],15.86625
38,[2.5197744 0.84375  ],15.614405
39,[2.263874 0.859375],15.86625
40,[1.2592978 0.921875 ],15.614405
41,[0.7528771 0.953125 ],16.118095
42,[0.75567275 0.953125  ],15.86625
43,[3.5034935 0.78125  ],14.355179
44,[3.5198178 0.78125  ],14.85887
45,[2.2658987 0.859375 ],15.614405
46,[1.2579669 0.921875 ],14.858869
47,[2.4659638 0.84375  ],14.297646
48,[1.6242006 0.890625 ],15.110714
49,[2.26112  0.859375],16.118095
50,[1.7609643 0.890625 ],14.355265
51,[1.2759559 0.90625  ],15.383957
52,[1.7658069 0.890625 ],15.591771
53,[2.0575325 0.859375 ],15.439615
54,[2.5197153 0.84375  ],15.86625
55,[1.2594721 0.921875 ],16.118095
56,[1.0078865 0.9375   ],14.012548
57,[2.046933 0.859375],15.458044
58,[1.7660106 0.890625 ],16.101032
59,[1.5119644 0.90625  ],15.614405
60,[3.0194435 0.8125   ],16.118095
61,[1.5103496 0.90625  ],15.665882
62,[1.0350846 0.921875 ],15.86625
63,[3.5259666 0.78125  ],15.694914
64,[1.2601464 0.921875 ],16.118095
65,[2.0201778 0.875    ],15.614405
66,[3.5258636 0.78125  ],15.86625
67,[0.7555722 0.953125 ],16.118095
68,[3.2714987 0.796875 ],15.362559
69,[2.769496 0.828125],15.890856
70,[2.0784209 0.859375 ],15.86625
71,[0.5097181 0.96875  ],15.614405
72,[1.7637222 0.890625 ],15.86625
73,[1.2594869 0.921875 ],15.86625
74,[1.5111501 0.90625  ],15.629593
75,[1.7630816 0.890625 ],16.118095
76,[2.3503118 0.84375  ],15.614405
77,[2.2667234 0.859375 ],15.866791
78,[1.7610501 0.890625 ],16.118095
79,[2.0148373 0.875    ],16.118095
80,[1.9656401 0.875    ],15.86625
81,[2.518547 0.84375 ],15.86625
82,[2.2640615 0.859375 ],15.260244
83,[2.2671595 0.859375 ],15.980508
84,[1.7602384 0.890625 ],16.118095
85,[2.2583861 0.859375 ],15.86625
86,[1.5083519 0.90625  ],15.362559
87,[1.5110793 0.90625  ],16.118095
88,[1.0047126 0.9375   ],15.614405
89,[2.2666373 0.859375 ],16.118095
90,[1.2568506 0.921875 ],15.765955
91,[2.2666945 0.859375 ],15.86625
92,[1.7547351 0.890625 ],15.86625
93,[2.0120187 0.875    ],15.110714
94,[0.75285274 0.953125  ],15.362559
95,[1.7601775 0.890625 ],14.858869
96,[2.0094845 0.875    ],15.86625
